09:50:56.760 timestamp,temperature,prediction
01:44:56.700 57600000,21.81,21.93
01:50:56.572 57960000,21.81,21.92
01:56:56.938 58320000,21.81,21.91
02:02:56.805 58680000,21.75,21.88
02:08:56.670 59040000,21.75,21.88
02:14:57.037 59400000,21.69,21.84
02:20:56.900 59760000,21.69,21.83
02:26:56.978 60120000,21.62,21.80
02:32:56.839 60480000,21.62,21.78
02:38:56.713 60840000,21.62,21.77
02:44:56.578 61200000,21.62,21.76
02:50:56.939 61560000,21.62,21.75
02:56:56.811 61920000,21.56,21.72
03:02:56.677 62280000,21.56,21.71
03:08:57.034 62640000,21.50,21.67
03:14:56.904 63000000,21.50,21.66
03:20:56.773 63360000,21.50,21.65
03:26:56.641 63720000,21.37,21.58
03:32:57.003 64080000,21.44,21.58
03:38:56.871 64440000,21.44,21.57
03:44:56.741 64800000,21.44,21.56
03:50:56.603 65160000,21.44,21.56
03:56:56.972 65520000,21.44,21.55
04:02:56.835 65880000,21.44,21.55
04:08:56.706 66240000,21.44,21.55
04:14:56.576 66600000,21.44,21.56
04:20:56.940 66960000,21.37,21.53
04:26:56.806 67320000,21.44,21.55
04:32:56.670 67680000,21.44,21.56
04:38:56.538 68040000,21.37,21.53
04:44:56.900 68400000,21.44,21.56
04:50:56.771 68760000,21.37,21.53
04:56:56.638 69120000,21.37,21.53
05:02:56.999 69480000,21.44,21.55
05:08:56.866 69840000,21.37,21.52
05:14:56.738 70200000,21.37,21.52
05:20:56.610 70560000,21.31,21.48
05:26:56.967 70920000,21.37,21.49
05:32:56.833 71280000,21.31,21.46
05:38:56.705 71640000,21.31,21.45
05:44:56.568 72000000,21.31,21.44
05:50:57.431 72360000,21.25,21.40
05:56:56.806 72720000,21.25,21.38
06:02:56.671 73080000,21.19,21.34
06:08:56.531 73440000,21.25,21.35
06:14:56.901 73800000,21.19,21.31
06:20:56.767 74160000,21.19,21.30
06:26:56.635 74520000,21.19,21.29
06:32:56.993 74880000,21.12,21.25
06:38:56.863 75240000,21.12,21.24
06:44:56.727 75600000,21.06,21.20
06:50:56.598 75960000,21.06,21.19
06:56:57.073 76320000,21.06,21.18
07:02:56.828 76680000,21.00,21.14
07:08:56.697 77040000,21.00,21.13
07:14:56.562 77400000,20.94,21.09
07:20:56.929 77760000,20.94,21.07
07:26:56.792 78120000,20.94,21.06
07:32:56.660 78480000,20.88,21.03
07:38:56.528 78840000,20.88,21.01
07:44:56.892 79200000,20.88,21.00
07:50:56.758 79560000,20.88,21.00
07:56:56.628 79920000,20.81,20.96
08:02:56.495 80280000,20.81,20.95
08:08:56.853 80640000,20.88,20.97
08:14:56.732 81000000,20.81,20.95
08:20:57.088 81360000,20.81,20.94
08:26:56.953 81720000,20.81,20.94
08:32:56.822 82080000,20.81,20.94
08:38:56.692 82440000,20.75,20.91
08:44:56.559 82800000,20.69,20.87
08:50:56.922 83160000,20.69,20.86
08:56:56.793 83520000,20.69,20.85
09:02:56.656 83880000,20.69,20.83
09:08:56.527 84240000,20.69,20.82
09:14:56.891 84600000,20.75,20.85
09:20:56.754 84960000,20.75,20.85
09:26:56.623 85320000,20.75,20.85
09:32:56.497 85680000,20.75,20.85
09:38:56.854 86040000,20.75,20.86
09:44:56.721 86400000,20.88,20.92
09:50:56.584 86760000,20.88,20.94
09:56:54.402 87120000,21.00,21.01
10:02:54.263 87480000,20.94,21.01
10:08:54.134 87840000,20.94,21.03
10:14:54.004 88200000,21.00,21.07
10:20:54.362 88560000,21.00,21.09
10:26:54.233 88920000,21.06,21.13
10:32:54.099 89280000,21.00,21.12
10:38:53.971 89640000,21.19,21.21
10:44:54.320 90000000,21.19,21.23
