timestamp,temperature_C
1630.0,26.625
4138.0,26.687
6646.0,26.75
9154.0,26.75
11662.0,26.75
14170.0,26.75
16678.0,26.75
19186.0,26.687
21694.0,26.75
24202.0,26.75
26710.0,26.812
29218.0,26.75
31726.0,26.812
34233.0,26.812
36741.0,26.75
39249.0,26.812
41756.0,26.75
44263.0,26.812
46770.0,26.75
49277.0,26.75
51784.0,26.812
54291.0,26.75
56798.0,26.812
59305.0,26.812
61812.0,26.75
64320.0,26.75
66828.0,26.75
69335.0,26.75
71842.0,26.562
74349.0,26.25
76856.0,26.062
79363.0,25.562
81870.0,25.0
84377.0,24.625
86886.0,24.375
89394.0,24.125
91901.0,24.125
94408.0,24.937
96915.0,25.437
99422.0,25.75
101929.0,25.937
104436.0,26.125
106943.0,26.25
109450.0,26.312
111957.0,26.375
114464.0,26.437
116971.0,26.5
119479.0,26.5
121987.0,26.5
124495.0,26.562
127003.0,26.562
129511.0,26.562
132019.0,26.562
134526.0,26.562
137033.0,26.625
139540.0,26.687
142047.0,26.625
144554.0,26.625
147061.0,26.625
149568.0,26.625
152075.0,26.687
154582.0,26.625
157089.0,26.625
159596.0,26.625
162103.0,26.625
164610.0,26.687
167117.0,26.625
169624.0,26.687
172131.0,26.687
174638.0,26.687
177145.0,26.687
179652.0,26.625
182159.0,26.625
184666.0,26.625
187174.0,26.687
189682.0,26.75
192189.0,26.687
194697.0,26.687
197205.0,26.625
199713.0,26.625
202220.0,26.687
204727.0,26.687
207235.0,26.687
209742.0,26.75
212249.0,26.687
214756.0,26.687
217263.0,26.687
219770.0,26.687
222277.0,26.687
224785.0,26.687
227293.0,26.625
229801.0,26.687
232308.0,26.625
234816.0,26.687
237324.0,26.687
239832.0,26.687
242340.0,26.687
244848.0,26.625
247356.0,26.625
249863.0,26.625
252370.0,26.625
254877.0,26.625
257384.0,26.625
259891.0,26.625
262398.0,26.687
264905.0,26.625
267412.0,26.625
269919.0,26.625
272426.0,26.562
274933.0,26.625
277440.0,26.625
279947.0,26.625
282454.0,26.625
284961.0,26.625
287468.0,26.562
289975.0,26.562
292482.0,26.562
294989.0,26.625
297496.0,26.625
300003.0,26.625
302510.0,26.562
305017.0,26.625
307524.0,26.562
310032.0,26.625
312539.0,26.625
315046.0,26.625
317553.0,26.625
320060.0,26.562
322567.0,26.562
325075.0,26.625
327582.0,26.625
330089.0,26.562
332597.0,26.625
335105.0,26.625
337612.0,26.625
340120.0,26.562
342628.0,26.562
345136.0,26.562
347644.0,26.562
350152.0,26.562
352660.0,26.625
355168.0,26.562
357676.0,26.562
360184.0,26.562
362692.0,26.562
365200.0,26.562
367708.0,26.562
370216.0,26.562
372724.0,26.625
375231.0,26.562
377738.0,26.562
380245.0,26.562
382752.0,26.5
385259.0,26.5
387766.0,26.562
390273.0,26.562
392780.0,26.562
395287.0,26.562
397795.0,26.562
400303.0,26.5
402811.0,26.5
405319.0,26.5
407827.0,26.5
410335.0,26.5
412843.0,26.5
415351.0,26.5
417859.0,26.5
420367.0,26.5
422875.0,26.562
425383.0,26.5
427890.0,26.5
430397.0,26.5
432905.0,26.5
435413.0,26.5
437921.0,26.562
440429.0,26.5
442937.0,26.562
445445.0,26.5
447953.0,26.5
450461.0,26.5
452969.0,26.5
455477.0,26.5
457985.0,26.5
460493.0,26.5
463000.0,26.437
465508.0,26.5
468015.0,26.5
470523.0,26.5
473031.0,26.5
475539.0,26.562
478047.0,26.5
480555.0,26.437
483062.0,26.5
485569.0,26.5
488076.0,26.5
490583.0,26.437
493090.0,26.437
495597.0,26.437
498104.0,26.5
500611.0,26.437
503118.0,26.5
505625.0,26.5
508133.0,26.5
510641.0,26.5
513148.0,26.5
515656.0,26.437
518164.0,26.5
520672.0,26.5
523180.0,26.437
525687.0,26.5
528194.0,26.437
530701.0,26.5
533208.0,26.5
535715.0,26.437
538222.0,26.437
540729.0,26.437
543236.0,26.437
545743.0,26.437
548250.0,26.437
550758.0,26.437
553266.0,26.437
555774.0,26.437
558281.0,26.5
560788.0,26.437
563295.0,26.5
565802.0,26.437
568309.0,26.437
570816.0,26.437
573323.0,26.437
575831.0,26.375
578339.0,26.437
580846.0,26.437
583353.0,26.437
585860.0,26.437
588367.0,26.437
590874.0,26.437
593381.0,26.375
595888.0,26.437
598395.0,26.437
600902.0,26.375
603409.0,26.437
605917.0,26.437
608424.0,26.437
610931.0,26.375
613439.0,26.437
615946.0,26.437
618453.0,26.375
620961.0,26.375
623468.0,26.375
625976.0,26.375
628484.0,26.437
630992.0,26.437
633500.0,26.375
636008.0,26.437
638515.0,26.375
641023.0,26.437
643531.0,26.375
646039.0,26.375
648547.0,26.375
